net,fanin,fanout,gate_count,num_gate_types,num_instances,y_any,design,trojan
WX647,0,3,3,2,3,0,s35932,T100
n3527,5,1,2,2,2,0,s35932,T100
WX648,5,1,2,2,2,0,s35932,T100
WX649,0,3,3,2,3,0,s35932,T100
n3525,5,1,2,2,2,0,s35932,T100
WX650,5,1,2,2,2,0,s35932,T100
test_so2,0,2,2,2,2,0,s35932,T100
n3523,5,1,2,2,2,0,s35932,T100
WX652,5,1,2,2,2,0,s35932,T100
test_si3,0,1,1,1,1,0,s35932,T100
WX653,0,3,3,2,3,0,s35932,T100
n3521,5,1,2,2,2,0,s35932,T100
WX654,5,1,2,2,2,0,s35932,T100
WX655,0,3,3,2,3,0,s35932,T100
n3519,5,1,2,2,2,0,s35932,T100
WX656,5,1,2,2,2,0,s35932,T100
WX657,0,3,3,2,3,0,s35932,T100
n3517,5,1,2,2,2,0,s35932,T100
WX658,5,1,2,2,2,0,s35932,T100
WX659,0,3,3,2,3,0,s35932,T100
n3515,5,1,2,2,2,0,s35932,T100
WX660,5,1,2,2,2,0,s35932,T100
WX661,0,3,3,2,3,0,s35932,T100
n3513,5,1,2,2,2,0,s35932,T100
WX662,5,1,2,2,2,0,s35932,T100
WX663,0,3,3,2,3,0,s35932,T100
n3511,5,1,2,2,2,0,s35932,T100
WX664,5,1,2,2,2,0,s35932,T100
WX665,0,3,3,2,3,0,s35932,T100
n3509,5,1,2,2,2,0,s35932,T100
WX666,5,1,2,2,2,0,s35932,T100
WX667,0,3,3,2,3,0,s35932,T100
n3507,5,1,2,2,2,0,s35932,T100
WX668,5,1,2,2,2,0,s35932,T100
WX669,0,3,3,2,3,0,s35932,T100
n3505,5,1,2,2,2,0,s35932,T100
WX670,5,1,2,2,2,0,s35932,T100
WX671,0,3,3,2,3,0,s35932,T100
n3503,5,1,2,2,2,0,s35932,T100
WX672,5,1,2,2,2,0,s35932,T100
WX673,0,3,3,2,3,0,s35932,T100
n3501,5,1,2,2,2,0,s35932,T100
WX674,5,1,2,2,2,0,s35932,T100
WX675,0,3,3,2,3,0,s35932,T100
n3499,5,1,2,2,2,0,s35932,T100
WX676,5,1,2,2,2,0,s35932,T100
WX677,0,3,3,2,3,0,s35932,T100
n3497,5,1,2,2,2,0,s35932,T100
WX678,5,1,2,2,2,0,s35932,T100
WX679,0,3,3,2,3,0,s35932,T100
n3495,5,1,2,2,2,0,s35932,T100
WX680,5,1,2,2,2,0,s35932,T100
WX681,0,3,3,2,3,0,s35932,T100
n3493,5,1,2,2,2,0,s35932,T100
WX682,5,1,2,2,2,0,s35932,T100
WX683,0,3,3,2,3,0,s35932,T100
n3491,5,1,2,2,2,0,s35932,T100
WX684,5,1,2,2,2,0,s35932,T100
WX685,0,3,3,2,3,0,s35932,T100
n3489,5,1,2,2,2,0,s35932,T100
WX686,5,1,2,2,2,0,s35932,T100
test_so3,0,2,2,2,2,0,s35932,T100
n3487,5,1,2,2,2,0,s35932,T100
WX688,5,1,2,2,2,0,s35932,T100
test_si4,0,1,1,1,1,0,s35932,T100
WX689,0,3,3,2,3,0,s35932,T100
n3485,5,1,2,2,2,0,s35932,T100
WX690,5,1,2,2,2,0,s35932,T100
WX691,0,3,3,2,3,0,s35932,T100
n3483,5,1,2,2,2,0,s35932,T100
WX692,5,1,2,2,2,0,s35932,T100
WX693,0,3,3,2,3,0,s35932,T100
n3481,5,1,2,2,2,0,s35932,T100
WX694,5,1,2,2,2,0,s35932,T100
WX695,0,3,3,2,3,0,s35932,T100
n3479,5,1,2,2,2,0,s35932,T100
WX696,5,1,2,2,2,0,s35932,T100
WX697,0,3,3,2,3,0,s35932,T100
n3477,5,1,2,2,2,0,s35932,T100
WX698,5,1,2,2,2,0,s35932,T100
WX699,0,3,3,2,3,0,s35932,T100
n3475,5,1,2,2,2,0,s35932,T100
WX700,5,1,2,2,2,0,s35932,T100
WX701,0,3,3,2,3,0,s35932,T100
n3473,5,1,2,2,2,0,s35932,T100
WX702,5,1,2,2,2,0,s35932,T100
WX703,0,3,3,2,3,0,s35932,T100
n3471,5,1,2,2,2,0,s35932,T100
WX704,5,1,2,2,2,0,s35932,T100
WX705,0,3,3,2,3,0,s35932,T100
n3469,5,1,2,2,2,0,s35932,T100
WX706,5,1,2,2,2,0,s35932,T100
WX707,0,3,3,2,3,0,s35932,T100
n3467,5,1,2,2,2,0,s35932,T100
WX708,2,1,2,2,2,0,s35932,T100
WX709,4,3,4,3,4,0,s35932,T100
WX710,2,1,2,2,2,0,s35932,T100
WX711,4,3,4,3,4,0,s35932,T100
WX712,2,1,2,2,2,0,s35932,T100
WX713,4,3,4,3,4,0,s35932,T100
WX714,2,1,2,2,2,0,s35932,T100
WX715,4,3,4,3,4,0,s35932,T100
WX716,2,1,2,2,2,0,s35932,T100
WX717,4,3,4,3,4,0,s35932,T100
WX718,2,1,2,2,2,0,s35932,T100
WX719,4,3,4,3,4,0,s35932,T100
WX720,2,1,2,2,2,0,s35932,T100
WX721,4,3,4,3,4,0,s35932,T100
WX722,2,1,2,2,2,0,s35932,T100
test_so4,4,2,3,3,3,0,s35932,T100
WX724,2,1,2,2,2,0,s35932,T100
test_si5,0,1,1,1,1,0,s35932,T100
WX725,4,3,4,3,4,0,s35932,T100
WX726,2,1,2,2,2,0,s35932,T100
WX727,4,3,4,3,4,0,s35932,T100
WX728,2,1,2,2,2,0,s35932,T100
WX729,4,3,4,3,4,0,s35932,T100
WX730,2,1,2,2,2,0,s35932,T100
WX731,4,3,4,3,4,0,s35932,T100
WX732,2,1,2,2,2,0,s35932,T100
WX733,4,3,4,3,4,0,s35932,T100
WX734,2,1,2,2,2,0,s35932,T100
WX735,4,3,4,3,4,0,s35932,T100
WX736,2,1,2,2,2,0,s35932,T100
WX737,4,3,4,3,4,0,s35932,T100
WX738,2,1,2,2,2,0,s35932,T100
WX739,4,3,4,3,4,0,s35932,T100
WX740,2,1,2,2,2,0,s35932,T100
WX741,4,3,4,3,4,0,s35932,T100
WX742,2,1,2,2,2,1,s35932,T100
WX743,4,3,4,3,4,0,s35932,T100
WX744,2,1,2,2,2,0,s35932,T100
WX745,4,3,4,3,4,0,s35932,T100
WX746,2,1,2,2,2,0,s35932,T100
WX747,4,3,4,3,4,0,s35932,T100
WX748,2,1,2,2,2,0,s35932,T100
WX749,4,3,4,3,4,0,s35932,T100
WX750,2,1,2,2,2,0,s35932,T100
WX751,4,3,4,3,4,0,s35932,T100
WX752,2,1,2,2,2,0,s35932,T100
WX753,4,3,4,3,4,0,s35932,T100
WX754,2,1,2,2,2,0,s35932,T100
WX755,4,3,4,3,4,0,s35932,T100
WX756,2,1,2,2,2,0,s35932,T100
WX757,4,3,4,3,4,0,s35932,T100
WX758,2,1,2,2,2,0,s35932,T100
test_so5,4,2,3,3,3,0,s35932,T100
WX760,2,1,2,2,2,0,s35932,T100
test_si6,0,1,1,1,1,0,s35932,T100
WX761,4,3,4,3,4,0,s35932,T100
WX762,2,1,2,2,2,0,s35932,T100
WX763,4,3,4,3,4,0,s35932,T100
WX764,2,1,2,2,2,0,s35932,T100
WX765,4,3,4,3,4,0,s35932,T100
WX766,2,1,2,2,2,0,s35932,T100
WX767,4,3,4,3,4,0,s35932,T100
WX768,2,1,2,2,2,0,s35932,T100
WX769,4,3,4,3,4,0,s35932,T100
WX770,2,1,2,2,2,0,s35932,T100
WX771,4,3,4,3,4,0,s35932,T100
WX772,2,1,2,2,2,0,s35932,T100
WX773,4,3,4,3,4,0,s35932,T100
WX774,2,1,2,2,2,0,s35932,T100
WX775,4,3,4,3,4,0,s35932,T100
WX776,2,1,2,2,2,0,s35932,T100
WX777,4,3,4,3,4,0,s35932,T100
WX778,2,1,2,2,2,0,s35932,T100
WX779,4,3,4,3,4,0,s35932,T100
WX780,2,1,2,2,2,0,s35932,T100
WX781,4,3,4,3,4,0,s35932,T100
WX782,2,1,2,2,2,0,s35932,T100
WX783,4,3,4,3,4,0,s35932,T100
WX784,2,1,2,2,2,0,s35932,T100
WX785,4,3,4,3,4,0,s35932,T100
WX786,2,1,2,2,2,0,s35932,T100
WX787,4,3,4,3,4,0,s35932,T100
WX788,2,1,2,2,2,0,s35932,T100
WX789,4,3,4,3,4,0,s35932,T100
WX790,2,1,2,2,2,0,s35932,T100
WX791,4,3,4,3,4,0,s35932,T100
WX792,2,1,2,2,2,0,s35932,T100
WX793,4,3,4,3,4,0,s35932,T100
WX794,2,1,2,2,2,0,s35932,T100
test_so6,4,2,3,3,3,0,s35932,T100
WX796,2,1,2,2,2,0,s35932,T100
test_si7,0,1,1,1,1,0,s35932,T100
WX797,4,3,4,3,4,0,s35932,T100
WX798,2,1,2,2,2,0,s35932,T100
WX799,4,3,4,3,4,0,s35932,T100
WX800,2,1,2,2,2,0,s35932,T100
WX801,4,3,4,3,4,0,s35932,T100
WX802,2,1,2,2,2,0,s35932,T100
WX803,4,3,4,3,4,0,s35932,T100
WX804,2,1,2,2,2,0,s35932,T100
WX805,4,3,4,3,4,0,s35932,T100
WX806,2,1,2,2,2,0,s35932,T100
WX807,4,3,4,3,4,0,s35932,T100
WX808,2,1,2,2,2,0,s35932,T100
WX809,4,3,4,3,4,0,s35932,T100
WX810,2,1,2,2,2,0,s35932,T100
WX811,4,3,4,3,4,0,s35932,T100
WX812,2,1,2,2,2,0,s35932,T100
WX813,4,3,4,3,4,0,s35932,T100
WX814,2,1,2,2,2,0,s35932,T100
WX815,4,3,4,3,4,0,s35932,T100
WX816,2,1,2,2,2,0,s35932,T100
WX817,4,3,4,3,4,0,s35932,T100
WX818,2,1,2,2,2,0,s35932,T100
WX819,4,3,4,3,4,0,s35932,T100
WX820,2,1,2,2,2,0,s35932,T100
WX821,4,3,4,3,4,0,s35932,T100
WX822,2,1,2,2,2,0,s35932,T100
WX823,4,3,4,3,4,0,s35932,T100
WX824,2,1,2,2,2,0,s35932,T100
WX825,4,3,4,3,4,0,s35932,T100
WX826,2,1,2,2,2,0,s35932,T100
WX827,4,3,4,3,4,0,s35932,T100
WX828,2,1,2,2,2,0,s35932,T100
WX829,4,3,4,3,4,0,s35932,T100
WX830,2,1,2,2,2,0,s35932,T100
test_so7,4,2,3,3,3,0,s35932,T100
WX832,2,1,2,2,2,0,s35932,T100
test_si8,0,1,1,1,1,0,s35932,T100
WX833,4,3,4,3,4,0,s35932,T100
WX834,2,1,2,2,2,0,s35932,T100
WX835,4,3,4,3,4,0,s35932,T100
WX836,2,1,2,2,2,0,s35932,T100
WX837,4,3,4,3,4,0,s35932,T100
WX838,2,1,2,2,2,0,s35932,T100
WX839,4,3,4,3,4,0,s35932,T100
WX840,2,1,2,2,2,0,s35932,T100
WX841,4,3,4,3,4,0,s35932,T100
WX842,2,1,2,2,2,0,s35932,T100
WX843,4,3,4,3,4,0,s35932,T100
WX844,2,1,2,2,2,0,s35932,T100
WX845,4,3,4,3,4,0,s35932,T100
WX846,2,1,2,2,2,0,s35932,T100
WX847,4,3,4,3,4,0,s35932,T100
WX848,2,1,2,2,2,0,s35932,T100
WX849,4,3,4,3,4,0,s35932,T100
WX850,2,1,2,2,2,0,s35932,T100
WX851,4,3,4,3,4,0,s35932,T100
WX852,2,1,2,2,2,0,s35932,T100
WX853,4,3,4,3,4,0,s35932,T100
WX854,2,1,2,2,2,0,s35932,T100
WX855,4,3,4,3,4,0,s35932,T100
WX856,2,1,2,2,2,0,s35932,T100
WX857,4,3,4,3,4,0,s35932,T100
WX858,2,1,2,2,2,0,s35932,T100
WX859,4,3,4,3,4,0,s35932,T100
WX860,2,1,2,2,2,0,s35932,T100
WX861,4,3,4,3,4,0,s35932,T100
WX862,2,1,2,2,2,0,s35932,T100
WX863,4,3,4,3,4,0,s35932,T100
WX864,2,1,2,2,2,0,s35932,T100
WX865,4,3,4,3,4,0,s35932,T100
WX866,2,1,2,2,2,0,s35932,T100
test_so8,4,2,3,2,3,0,s35932,T100
WX868,2,1,2,2,2,0,s35932,T100
test_si9,0,1,1,1,1,0,s35932,T100
WX869,4,3,4,3,4,0,s35932,T100
WX870,2,1,2,2,2,0,s35932,T100
WX871,4,3,4,3,4,0,s35932,T100
WX872,2,1,2,2,2,0,s35932,T100
WX873,4,3,4,3,4,0,s35932,T100
WX874,2,1,2,2,2,0,s35932,T100
WX875,4,3,4,3,4,0,s35932,T100
WX876,2,1,2,2,2,0,s35932,T100
WX877,4,3,4,2,4,0,s35932,T100
WX878,2,1,2,2,2,0,s35932,T100
WX879,4,3,4,3,4,0,s35932,T100
WX880,2,1,2,2,2,0,s35932,T100
WX881,4,3,4,3,4,0,s35932,T100
WX882,2,1,2,2,2,0,s35932,T100
WX883,4,3,4,3,4,0,s35932,T100
WX884,2,1,2,2,2,0,s35932,T100
WX885,4,3,4,3,4,0,s35932,T100
WX886,2,1,2,2,2,0,s35932,T100
WX887,4,3,4,3,4,0,s35932,T100
WX888,2,1,2,2,2,0,s35932,T100
WX889,4,3,4,3,4,0,s35932,T100
WX890,2,1,2,2,2,0,s35932,T100
WX891,4,3,4,2,4,0,s35932,T100
WX892,2,1,2,2,2,0,s35932,T100
WX893,4,3,4,3,4,0,s35932,T100
WX894,2,1,2,2,2,0,s35932,T100
WX895,4,3,4,3,4,0,s35932,T100
WX896,2,1,2,2,2,0,s35932,T100
WX897,4,3,4,3,4,0,s35932,T100
WX898,2,1,2,2,2,0,s35932,T100
WX899,4,3,4,3,4,0,s35932,T100
WX1264,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_0,0,3,3,2,3,0,s35932,T100
DFF_160_n1,5,1,2,2,2,0,s35932,T100
WX1266,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_1,0,2,2,2,2,0,s35932,T100
DFF_161_n1,5,1,2,2,2,0,s35932,T100
WX1268,2,1,2,2,2,0,s35932,T100
test_si10,0,1,1,1,1,0,s35932,T100
CRC_OUT_9_2,0,3,3,2,3,0,s35932,T100
DFF_162_n1,5,1,2,2,2,0,s35932,T100
WX1270,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_3,0,3,3,2,3,0,s35932,T100
DFF_163_n1,5,1,2,2,2,0,s35932,T100
WX1272,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_4,0,3,3,2,3,0,s35932,T100
DFF_164_n1,5,1,2,2,2,0,s35932,T100
WX1274,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_5,0,3,3,2,3,0,s35932,T100
DFF_165_n1,5,1,2,2,2,0,s35932,T100
WX1276,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_6,0,3,3,2,3,0,s35932,T100
DFF_166_n1,5,1,2,2,2,0,s35932,T100
WX1278,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_7,0,3,3,2,3,0,s35932,T100
DFF_167_n1,5,1,2,2,2,0,s35932,T100
WX1280,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_8,0,3,3,2,3,0,s35932,T100
DFF_168_n1,5,1,2,2,2,0,s35932,T100
WX1282,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_9,0,3,3,2,3,0,s35932,T100
DFF_169_n1,5,1,2,2,2,0,s35932,T100
WX1284,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_10,0,3,3,2,3,0,s35932,T100
DFF_170_n1,5,1,2,2,2,0,s35932,T100
WX1286,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_11,0,3,3,2,3,0,s35932,T100
DFF_171_n1,5,1,2,2,2,0,s35932,T100
WX1288,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_12,0,3,3,2,3,0,s35932,T100
DFF_172_n1,5,1,2,2,2,0,s35932,T100
WX1290,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_13,0,3,3,2,3,0,s35932,T100
DFF_173_n1,5,1,2,2,2,0,s35932,T100
WX1292,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_14,0,3,3,2,3,0,s35932,T100
DFF_174_n1,5,1,2,2,2,0,s35932,T100
WX1294,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_15,0,3,3,2,3,0,s35932,T100
DFF_175_n1,5,1,2,2,2,0,s35932,T100
WX1296,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_16,0,3,3,2,3,0,s35932,T100
DFF_176_n1,5,1,2,2,2,0,s35932,T100
WX1298,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_17,0,3,3,2,3,0,s35932,T100
DFF_177_n1,5,1,2,2,2,0,s35932,T100
WX1300,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_18,0,3,3,2,3,0,s35932,T100
DFF_178_n1,5,1,2,2,2,0,s35932,T100
WX1302,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_19,0,2,2,2,2,0,s35932,T100
DFF_179_n1,5,1,2,2,2,0,s35932,T100
WX1304,2,1,2,2,2,0,s35932,T100
test_si11,0,1,1,1,1,0,s35932,T100
CRC_OUT_9_20,0,3,3,2,3,0,s35932,T100
DFF_180_n1,5,1,2,2,2,0,s35932,T100
WX1306,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_21,0,3,3,2,3,0,s35932,T100
DFF_181_n1,5,1,2,2,2,0,s35932,T100
WX1308,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_22,0,3,3,2,3,0,s35932,T100
DFF_182_n1,5,1,2,2,2,0,s35932,T100
WX1310,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_23,0,3,3,2,3,0,s35932,T100
DFF_183_n1,5,1,2,2,2,0,s35932,T100
WX1312,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_24,0,3,3,2,3,0,s35932,T100
DFF_184_n1,5,1,2,2,2,0,s35932,T100
WX1314,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_25,0,3,3,2,3,0,s35932,T100
DFF_185_n1,5,1,2,2,2,0,s35932,T100
WX1316,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_26,0,3,3,2,3,0,s35932,T100
DFF_186_n1,5,1,2,2,2,0,s35932,T100
WX1318,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_27,0,3,3,2,3,0,s35932,T100
DFF_187_n1,5,1,2,2,2,0,s35932,T100
WX1320,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_28,0,3,3,2,3,0,s35932,T100
DFF_188_n1,5,1,2,2,2,0,s35932,T100
WX1322,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_29,0,3,3,2,3,0,s35932,T100
DFF_189_n1,5,1,2,2,2,0,s35932,T100
WX1324,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_30,0,3,3,2,3,0,s35932,T100
DFF_190_n1,5,1,2,2,2,0,s35932,T100
WX1326,2,1,2,2,2,0,s35932,T100
CRC_OUT_9_31,0,6,6,3,6,0,s35932,T100
DFF_191_n1,5,1,2,2,2,0,s35932,T100
WX1777,2,2,3,3,3,0,s35932,T100
WX1778,4,3,4,3,4,0,s35932,T100
WX1779,2,2,3,3,3,0,s35932,T100
n8702,0,2,2,1,2,0,s35932,T100
n4033,5,1,2,2,2,0,s35932,T100
WX1781,2,2,3,3,3,0,s35932,T100
n8701,0,2,2,1,2,0,s35932,T100
n4032,5,1,2,2,2,0,s35932,T100
WX1783,2,2,3,3,3,0,s35932,T100
n8700,0,2,2,1,2,0,s35932,T100
n4031,5,1,2,2,2,0,s35932,T100
WX1785,2,2,3,3,3,0,s35932,T100
n8699,0,2,2,1,2,0,s35932,T100
n4030,5,1,2,2,2,0,s35932,T100
WX1787,2,2,3,3,3,0,s35932,T100
test_so11,0,1,1,1,1,0,s35932,T100
n4029,5,1,2,2,2,0,s35932,T100
WX1789,2,2,3,3,3,0,s35932,T100
test_si12,0,1,1,1,1,0,s35932,T100
n8696,0,2,2,1,2,0,s35932,T100
n4028,5,1,2,2,2,0,s35932,T100
WX1791,2,2,3,3,3,0,s35932,T100
n8695,0,2,2,1,2,0,s35932,T100
n4027,5,1,2,2,2,0,s35932,T100
WX1793,2,2,3,3,3,0,s35932,T100
n8694,0,2,2,1,2,0,s35932,T100
n4026,5,1,2,2,2,0,s35932,T100
WX1795,2,2,3,3,3,0,s35932,T100
n8693,0,2,2,1,2,0,s35932,T100
n4025,5,1,2,2,2,0,s35932,T100
WX1797,2,2,3,3,3,0,s35932,T100
n8692,0,2,2,1,2,0,s35932,T100
n4024,5,1,2,2,2,0,s35932,T100
WX1799,2,2,3,3,3,0,s35932,T100
n8691,0,2,2,1,2,0,s35932,T100
n4023,5,1,2,2,2,0,s35932,T100
WX1801,2,2,3,3,3,0,s35932,T100
n8690,0,2,2,1,2,0,s35932,T100
n4022,5,1,2,2,2,0,s35932,T100
WX1803,2,2,3,3,3,0,s35932,T100
n8689,0,2,2,1,2,0,s35932,T100
n4021,5,1,2,2,2,0,s35932,T100
WX1805,2,2,3,3,3,0,s35932,T100
n8688,0,2,2,1,2,0,s35932,T100
n4020,5,1,2,2,2,0,s35932,T100
WX1807,2,2,3,3,3,0,s35932,T100
n8687,0,2,2,1,2,0,s35932,T100
n4019,5,1,2,2,2,0,s35932,T100
WX1809,2,2,3,3,3,0,s35932,T100
n8686,0,2,2,1,2,0,s35932,T100
n4018,5,1,2,2,2,0,s35932,T100
WX1811,2,2,3,3,3,0,s35932,T100
n8685,0,2,2,1,2,0,s35932,T100
n4017,5,1,2,2,2,0,s35932,T100
WX1813,2,2,3,3,3,1,s35932,T100
n8684,0,2,2,1,2,0,s35932,T100
n4016,5,1,2,2,2,0,s35932,T100
WX1815,2,2,3,3,3,0,s35932,T100
n8683,0,2,2,1,2,0,s35932,T100
n4015,5,1,2,2,2,0,s35932,T100
WX1817,2,2,3,3,3,0,s35932,T100
n8682,0,2,2,1,2,0,s35932,T100
n4014,5,1,2,2,2,0,s35932,T100
WX1819,2,2,3,3,3,0,s35932,T100
n8681,0,2,2,1,2,0,s35932,T100
n4013,5,1,2,2,2,0,s35932,T100
WX1821,2,2,3,3,3,0,s35932,T100
n8680,0,2,2,1,2,0,s35932,T100
n4012,5,1,2,2,2,0,s35932,T100
WX1823,2,2,3,3,3,0,s35932,T100
test_so12,0,1,1,1,1,0,s35932,T100
n4011,5,1,2,2,2,0,s35932,T100
WX1825,2,2,3,3,3,0,s35932,T100
test_si13,0,1,1,1,1,0,s35932,T100
n8677,0,2,2,1,2,0,s35932,T100
n4010,5,1,2,2,2,0,s35932,T100
WX1827,2,2,3,3,3,0,s35932,T100
n8676,0,2,2,1,2,0,s35932,T100
n4009,5,1,2,2,2,0,s35932,T100
WX1829,2,2,3,3,3,0,s35932,T100
n8675,0,2,2,1,2,0,s35932,T100
n4008,5,1,2,2,2,0,s35932,T100
WX1831,2,2,3,3,3,0,s35932,T100
n8674,0,2,2,1,2,0,s35932,T100
n4007,5,1,2,2,2,0,s35932,T100
WX1833,2,2,3,3,3,0,s35932,T100
n8673,0,2,2,1,2,0,s35932,T100
n4006,5,1,2,2,2,0,s35932,T100
WX1835,2,2,3,3,3,0,s35932,T100
n8672,0,2,2,1,2,0,s35932,T100
n4005,5,1,2,2,2,0,s35932,T100
WX1837,2,2,3,3,3,0,s35932,T100
n8671,0,2,2,1,2,0,s35932,T100
n4004,5,1,2,2,2,0,s35932,T100
WX1839,2,1,2,2,2,0,s35932,T100
n8670,0,2,2,1,2,0,s35932,T100
n4003,5,1,2,2,2,0,s35932,T100
WX1937,5,1,2,2,2,0,s35932,T100
n8669,0,2,2,1,2,0,s35932,T100
n3345,5,2,3,3,3,0,s35932,T100
WX1939,5,1,2,2,2,0,s35932,T100
n8668,0,2,2,1,2,0,s35932,T100
n3465,5,2,3,3,3,0,s35932,T100
WX1941,5,1,2,2,2,0,s35932,T100
n8667,0,2,2,1,2,0,s35932,T100
n3464,5,2,3,3,3,0,s35932,T100
WX1943,5,1,2,2,2,0,s35932,T100
n8666,0,2,2,1,2,0,s35932,T100
n3463,5,2,3,3,3,0,s35932,T100
WX1945,5,1,2,2,2,0,s35932,T100
n8665,0,2,2,1,2,0,s35932,T100
n3462,5,2,3,3,3,0,s35932,T100
WX1947,5,1,2,2,2,0,s35932,T100
n8664,0,2,2,1,2,0,s35932,T100
n3461,5,2,3,3,3,0,s35932,T100
WX1949,5,1,2,2,2,0,s35932,T100
n8663,0,2,2,1,2,0,s35932,T100
n3460,5,2,3,3,3,0,s35932,T100
WX1951,5,1,2,2,2,0,s35932,T100
n8662,0,2,2,1,2,0,s35932,T100
n3459,5,2,3,3,3,0,s35932,T100
