net,fanin,fanout,gate_count,num_gate_types,num_instances,role,label
WX541,4,3,4,3,4,benign_or_unconfirmed,0
WX542,2,2,3,3,3,benign_or_unconfirmed,0
WX543,4,3,4,3,4,benign_or_unconfirmed,0
WX544,2,2,3,3,3,benign_or_unconfirmed,0
WX545,4,3,4,3,4,benign_or_unconfirmed,0
WX546,2,1,2,2,2,benign_or_unconfirmed,0
WX547,4,3,4,3,4,benign_or_unconfirmed,0
WX644,5,1,2,2,2,benign_or_unconfirmed,0
WX645,0,3,3,2,3,benign_or_unconfirmed,0
n3529,5,1,2,2,2,benign_or_unconfirmed,0
WX646,5,1,2,2,2,benign_or_unconfirmed,0
WX647,0,3,3,2,3,benign_or_unconfirmed,0
n3527,5,1,2,2,2,benign_or_unconfirmed,0
WX648,5,1,2,2,2,benign_or_unconfirmed,0
WX649,0,3,3,2,3,benign_or_unconfirmed,0
n3525,5,1,2,2,2,benign_or_unconfirmed,0
WX650,5,1,2,2,2,benign_or_unconfirmed,0
test_so2,0,2,2,2,2,benign_or_unconfirmed,0
n3523,5,1,2,2,2,benign_or_unconfirmed,0
WX652,5,1,2,2,2,benign_or_unconfirmed,0
test_si3,0,1,1,1,1,benign_or_unconfirmed,0
WX653,0,3,3,2,3,benign_or_unconfirmed,0
n3521,5,1,2,2,2,benign_or_unconfirmed,0
WX654,5,1,2,2,2,benign_or_unconfirmed,0
WX655,0,3,3,2,3,benign_or_unconfirmed,0
n3519,5,1,2,2,2,benign_or_unconfirmed,0
WX656,5,1,2,2,2,benign_or_unconfirmed,0
WX657,0,3,3,2,3,benign_or_unconfirmed,0
n3517,5,1,2,2,2,benign_or_unconfirmed,0
WX658,5,1,2,2,2,benign_or_unconfirmed,0
WX659,0,3,3,2,3,benign_or_unconfirmed,0
n3515,5,1,2,2,2,benign_or_unconfirmed,0
WX660,5,1,2,2,2,benign_or_unconfirmed,0
WX661,0,3,3,2,3,benign_or_unconfirmed,0
n3513,5,1,2,2,2,benign_or_unconfirmed,0
WX662,5,1,2,2,2,benign_or_unconfirmed,0
WX663,0,3,3,2,3,benign_or_unconfirmed,0
n3511,5,1,2,2,2,benign_or_unconfirmed,0
WX664,5,1,2,2,2,benign_or_unconfirmed,0
WX665,0,3,3,2,3,benign_or_unconfirmed,0
n3509,5,1,2,2,2,benign_or_unconfirmed,0
WX666,5,1,2,2,2,benign_or_unconfirmed,0
WX667,0,3,3,2,3,benign_or_unconfirmed,0
n3507,5,1,2,2,2,benign_or_unconfirmed,0
WX668,5,1,2,2,2,benign_or_unconfirmed,0
WX669,0,3,3,2,3,benign_or_unconfirmed,0
n3505,5,1,2,2,2,benign_or_unconfirmed,0
WX670,5,1,2,2,2,benign_or_unconfirmed,0
WX671,0,3,3,2,3,benign_or_unconfirmed,0
n3503,5,1,2,2,2,benign_or_unconfirmed,0
WX672,5,1,2,2,2,benign_or_unconfirmed,0
WX673,0,3,3,2,3,benign_or_unconfirmed,0
n3501,5,1,2,2,2,benign_or_unconfirmed,0
WX674,5,1,2,2,2,benign_or_unconfirmed,0
WX675,0,3,3,2,3,benign_or_unconfirmed,0
n3499,5,1,2,2,2,benign_or_unconfirmed,0
WX676,5,1,2,2,2,benign_or_unconfirmed,0
WX677,0,3,3,2,3,benign_or_unconfirmed,0
n3497,5,1,2,2,2,benign_or_unconfirmed,0
WX678,5,1,2,2,2,benign_or_unconfirmed,0
WX679,0,3,3,2,3,benign_or_unconfirmed,0
n3495,5,1,2,2,2,benign_or_unconfirmed,0
WX680,5,1,2,2,2,benign_or_unconfirmed,0
WX681,0,3,3,2,3,benign_or_unconfirmed,0
n3493,5,1,2,2,2,benign_or_unconfirmed,0
WX682,5,1,2,2,2,benign_or_unconfirmed,0
WX683,0,3,3,2,3,benign_or_unconfirmed,0
n3491,5,1,2,2,2,benign_or_unconfirmed,0
WX684,5,1,2,2,2,benign_or_unconfirmed,0
WX685,0,3,3,2,3,benign_or_unconfirmed,0
n3489,5,1,2,2,2,benign_or_unconfirmed,0
WX686,5,1,2,2,2,benign_or_unconfirmed,0
test_so3,0,2,2,2,2,benign_or_unconfirmed,0
n3487,5,1,2,2,2,benign_or_unconfirmed,0
WX688,5,1,2,2,2,benign_or_unconfirmed,0
test_si4,0,1,1,1,1,benign_or_unconfirmed,0
WX689,0,3,3,2,3,benign_or_unconfirmed,0
n3485,5,1,2,2,2,benign_or_unconfirmed,0
WX690,5,1,2,2,2,benign_or_unconfirmed,0
WX691,0,3,3,2,3,benign_or_unconfirmed,0
n3483,5,1,2,2,2,benign_or_unconfirmed,0
WX692,5,1,2,2,2,benign_or_unconfirmed,0
WX693,0,3,3,2,3,benign_or_unconfirmed,0
n3481,5,1,2,2,2,benign_or_unconfirmed,0
WX694,5,1,2,2,2,benign_or_unconfirmed,0
WX695,0,3,3,2,3,benign_or_unconfirmed,0
n3479,5,1,2,2,2,benign_or_unconfirmed,0
WX696,5,1,2,2,2,benign_or_unconfirmed,0
WX697,0,3,3,2,3,benign_or_unconfirmed,0
n3477,5,1,2,2,2,benign_or_unconfirmed,0
WX698,5,1,2,2,2,benign_or_unconfirmed,0
WX699,0,3,3,2,3,benign_or_unconfirmed,0
n3475,5,1,2,2,2,benign_or_unconfirmed,0
WX700,5,1,2,2,2,benign_or_unconfirmed,0
WX701,0,3,3,2,3,benign_or_unconfirmed,0
n3473,5,1,2,2,2,benign_or_unconfirmed,0
WX702,5,1,2,2,2,benign_or_unconfirmed,0
WX703,0,3,3,2,3,benign_or_unconfirmed,0
n3471,5,1,2,2,2,benign_or_unconfirmed,0
WX704,5,1,2,2,2,benign_or_unconfirmed,0
WX705,0,3,3,2,3,benign_or_unconfirmed,0
n3469,5,1,2,2,2,benign_or_unconfirmed,0
WX706,5,1,2,2,2,benign_or_unconfirmed,0
WX707,0,3,3,2,3,benign_or_unconfirmed,0
n3467,5,1,2,2,2,benign_or_unconfirmed,0
WX708,2,1,2,2,2,benign_or_unconfirmed,0
WX709,4,3,4,3,4,benign_or_unconfirmed,0
WX710,2,1,2,2,2,benign_or_unconfirmed,0
WX711,4,3,4,3,4,benign_or_unconfirmed,0
WX712,2,1,2,2,2,benign_or_unconfirmed,0
WX713,4,3,4,3,4,benign_or_unconfirmed,0
WX714,2,1,2,2,2,benign_or_unconfirmed,0
WX715,4,3,4,3,4,benign_or_unconfirmed,0
WX716,2,1,2,2,2,benign_or_unconfirmed,0
WX717,4,3,4,3,4,benign_or_unconfirmed,0
WX718,2,1,2,2,2,benign_or_unconfirmed,0
WX719,4,3,4,3,4,benign_or_unconfirmed,0
WX720,2,1,2,2,2,benign_or_unconfirmed,0
WX721,4,3,4,3,4,benign_or_unconfirmed,0
WX722,2,1,2,2,2,benign_or_unconfirmed,0
test_so4,4,2,3,3,3,benign_or_unconfirmed,0
WX724,2,1,2,2,2,benign_or_unconfirmed,0
test_si5,0,1,1,1,1,benign_or_unconfirmed,0
WX725,4,3,4,3,4,benign_or_unconfirmed,0
WX726,2,1,2,2,2,benign_or_unconfirmed,0
WX727,4,3,4,3,4,benign_or_unconfirmed,0
WX728,2,1,2,2,2,benign_or_unconfirmed,0
WX729,4,3,4,3,4,benign_or_unconfirmed,0
WX730,2,1,2,2,2,benign_or_unconfirmed,0
WX731,4,3,4,3,4,benign_or_unconfirmed,0
WX732,2,1,2,2,2,benign_or_unconfirmed,0
WX733,4,3,4,3,4,benign_or_unconfirmed,0
WX734,2,1,2,2,2,benign_or_unconfirmed,0
WX735,4,3,4,3,4,benign_or_unconfirmed,0
WX736,2,1,2,2,2,benign_or_unconfirmed,0
WX737,4,3,4,3,4,benign_or_unconfirmed,0
WX738,2,1,2,2,2,benign_or_unconfirmed,0
WX739,4,3,4,3,4,benign_or_unconfirmed,0
WX740,2,1,2,2,2,benign_or_unconfirmed,0
WX741,4,3,4,3,4,benign_or_unconfirmed,0
WX742,2,1,2,2,2,trigger_tap,1
WX743,4,3,4,3,4,benign_or_unconfirmed,0
WX744,2,1,2,2,2,benign_or_unconfirmed,0
WX745,4,3,4,3,4,benign_or_unconfirmed,0
WX746,2,1,2,2,2,benign_or_unconfirmed,0
WX747,4,3,4,3,4,benign_or_unconfirmed,0
WX748,2,1,2,2,2,benign_or_unconfirmed,0
WX749,4,3,4,3,4,benign_or_unconfirmed,0
WX750,2,1,2,2,2,benign_or_unconfirmed,0
WX751,4,3,4,3,4,benign_or_unconfirmed,0
WX752,2,1,2,2,2,benign_or_unconfirmed,0
WX753,4,3,4,3,4,benign_or_unconfirmed,0
WX754,2,1,2,2,2,benign_or_unconfirmed,0
WX755,4,3,4,3,4,benign_or_unconfirmed,0
WX756,2,1,2,2,2,benign_or_unconfirmed,0
WX757,4,3,4,3,4,benign_or_unconfirmed,0
WX758,2,1,2,2,2,benign_or_unconfirmed,0
test_so5,4,2,3,3,3,benign_or_unconfirmed,0
WX760,2,1,2,2,2,benign_or_unconfirmed,0
test_si6,0,1,1,1,1,benign_or_unconfirmed,0
WX761,4,3,4,3,4,benign_or_unconfirmed,0
WX762,2,1,2,2,2,benign_or_unconfirmed,0
WX763,4,3,4,3,4,benign_or_unconfirmed,0
WX764,2,1,2,2,2,benign_or_unconfirmed,0
WX765,4,3,4,3,4,benign_or_unconfirmed,0
WX766,2,1,2,2,2,benign_or_unconfirmed,0
WX767,4,3,4,3,4,benign_or_unconfirmed,0
WX768,2,1,2,2,2,benign_or_unconfirmed,0
WX769,4,3,4,3,4,benign_or_unconfirmed,0
WX770,2,1,2,2,2,benign_or_unconfirmed,0
WX771,4,3,4,3,4,benign_or_unconfirmed,0
WX772,2,1,2,2,2,benign_or_unconfirmed,0
WX773,4,3,4,3,4,benign_or_unconfirmed,0
WX774,2,1,2,2,2,benign_or_unconfirmed,0
WX775,4,3,4,3,4,benign_or_unconfirmed,0
WX776,2,1,2,2,2,benign_or_unconfirmed,0
WX777,4,3,4,3,4,benign_or_unconfirmed,0
WX778,2,1,2,2,2,benign_or_unconfirmed,0
WX779,4,3,4,3,4,benign_or_unconfirmed,0
WX780,2,1,2,2,2,benign_or_unconfirmed,0
WX781,4,3,4,3,4,benign_or_unconfirmed,0
WX782,2,1,2,2,2,benign_or_unconfirmed,0
WX783,4,3,4,3,4,benign_or_unconfirmed,0
WX784,2,1,2,2,2,benign_or_unconfirmed,0
WX785,4,3,4,3,4,benign_or_unconfirmed,0
WX786,2,1,2,2,2,benign_or_unconfirmed,0
WX787,4,3,4,3,4,benign_or_unconfirmed,0
WX788,2,1,2,2,2,benign_or_unconfirmed,0
WX789,4,3,4,3,4,benign_or_unconfirmed,0
WX790,2,1,2,2,2,benign_or_unconfirmed,0
WX791,4,3,4,3,4,benign_or_unconfirmed,0
WX792,2,1,2,2,2,benign_or_unconfirmed,0
WX793,4,3,4,3,4,benign_or_unconfirmed,0
WX794,2,1,2,2,2,benign_or_unconfirmed,0
test_so6,4,2,3,3,3,benign_or_unconfirmed,0
WX796,2,1,2,2,2,benign_or_unconfirmed,0
test_si7,0,1,1,1,1,benign_or_unconfirmed,0
WX797,4,3,4,3,4,benign_or_unconfirmed,0
WX798,2,1,2,2,2,benign_or_unconfirmed,0
WX799,4,3,4,3,4,benign_or_unconfirmed,0
WX800,2,1,2,2,2,benign_or_unconfirmed,0
WX801,4,3,4,3,4,benign_or_unconfirmed,0
WX802,2,1,2,2,2,benign_or_unconfirmed,0
WX803,4,3,4,3,4,benign_or_unconfirmed,0
WX804,2,1,2,2,2,benign_or_unconfirmed,0
WX805,4,3,4,3,4,benign_or_unconfirmed,0
WX806,2,1,2,2,2,benign_or_unconfirmed,0
WX807,4,3,4,3,4,benign_or_unconfirmed,0
WX808,2,1,2,2,2,benign_or_unconfirmed,0
WX809,4,3,4,3,4,benign_or_unconfirmed,0
WX810,2,1,2,2,2,benign_or_unconfirmed,0
WX811,4,3,4,3,4,benign_or_unconfirmed,0
WX812,2,1,2,2,2,benign_or_unconfirmed,0
WX813,4,3,4,3,4,benign_or_unconfirmed,0
WX814,2,1,2,2,2,benign_or_unconfirmed,0
WX815,4,3,4,3,4,benign_or_unconfirmed,0
WX816,2,1,2,2,2,benign_or_unconfirmed,0
WX817,4,3,4,3,4,benign_or_unconfirmed,0
WX818,2,1,2,2,2,benign_or_unconfirmed,0
WX819,4,3,4,3,4,benign_or_unconfirmed,0
WX820,2,1,2,2,2,benign_or_unconfirmed,0
WX821,4,3,4,3,4,benign_or_unconfirmed,0
WX822,2,1,2,2,2,benign_or_unconfirmed,0
WX823,4,3,4,3,4,benign_or_unconfirmed,0
WX824,2,1,2,2,2,benign_or_unconfirmed,0
WX825,4,3,4,3,4,benign_or_unconfirmed,0
WX826,2,1,2,2,2,benign_or_unconfirmed,0
WX827,4,3,4,3,4,benign_or_unconfirmed,0
WX828,2,1,2,2,2,benign_or_unconfirmed,0
WX829,4,3,4,3,4,benign_or_unconfirmed,0
WX830,2,1,2,2,2,benign_or_unconfirmed,0
test_so7,4,2,3,3,3,benign_or_unconfirmed,0
WX832,2,1,2,2,2,benign_or_unconfirmed,0
test_si8,0,1,1,1,1,benign_or_unconfirmed,0
WX833,4,3,4,3,4,benign_or_unconfirmed,0
WX834,2,1,2,2,2,benign_or_unconfirmed,0
WX835,4,3,4,3,4,benign_or_unconfirmed,0
WX836,2,1,2,2,2,benign_or_unconfirmed,0
WX837,4,3,4,3,4,benign_or_unconfirmed,0
WX838,2,1,2,2,2,benign_or_unconfirmed,0
WX839,4,3,4,3,4,benign_or_unconfirmed,0
WX840,2,1,2,2,2,benign_or_unconfirmed,0
WX841,4,3,4,3,4,benign_or_unconfirmed,0
WX842,2,1,2,2,2,benign_or_unconfirmed,0
WX843,4,3,4,3,4,benign_or_unconfirmed,0
WX844,2,1,2,2,2,benign_or_unconfirmed,0
WX845,4,3,4,3,4,benign_or_unconfirmed,0
WX846,2,1,2,2,2,benign_or_unconfirmed,0
WX847,4,3,4,3,4,benign_or_unconfirmed,0
WX848,2,1,2,2,2,benign_or_unconfirmed,0
WX849,4,3,4,3,4,benign_or_unconfirmed,0
WX850,2,1,2,2,2,benign_or_unconfirmed,0
WX851,4,3,4,3,4,benign_or_unconfirmed,0
WX852,2,1,2,2,2,benign_or_unconfirmed,0
WX853,4,3,4,3,4,benign_or_unconfirmed,0
WX854,2,1,2,2,2,benign_or_unconfirmed,0
WX855,4,3,4,3,4,benign_or_unconfirmed,0
WX856,2,1,2,2,2,benign_or_unconfirmed,0
WX857,4,3,4,3,4,benign_or_unconfirmed,0
WX858,2,1,2,2,2,benign_or_unconfirmed,0
WX859,4,3,4,3,4,benign_or_unconfirmed,0
WX860,2,1,2,2,2,benign_or_unconfirmed,0
WX861,4,3,4,3,4,benign_or_unconfirmed,0
WX862,2,1,2,2,2,benign_or_unconfirmed,0
WX863,4,3,4,3,4,benign_or_unconfirmed,0
WX864,2,1,2,2,2,benign_or_unconfirmed,0
WX865,4,3,4,3,4,benign_or_unconfirmed,0
WX866,2,1,2,2,2,benign_or_unconfirmed,0
test_so8,4,2,3,2,3,benign_or_unconfirmed,0
WX868,2,1,2,2,2,benign_or_unconfirmed,0
test_si9,0,1,1,1,1,benign_or_unconfirmed,0
WX869,4,3,4,3,4,benign_or_unconfirmed,0
WX870,2,1,2,2,2,benign_or_unconfirmed,0
WX871,4,3,4,3,4,benign_or_unconfirmed,0
WX872,2,1,2,2,2,benign_or_unconfirmed,0
WX873,4,3,4,3,4,benign_or_unconfirmed,0
WX874,2,1,2,2,2,benign_or_unconfirmed,0
WX875,4,3,4,3,4,benign_or_unconfirmed,0
WX876,2,1,2,2,2,benign_or_unconfirmed,0
WX877,4,3,4,2,4,benign_or_unconfirmed,0
WX878,2,1,2,2,2,benign_or_unconfirmed,0
WX879,4,3,4,3,4,benign_or_unconfirmed,0
WX880,2,1,2,2,2,benign_or_unconfirmed,0
WX881,4,3,4,3,4,benign_or_unconfirmed,0
WX882,2,1,2,2,2,benign_or_unconfirmed,0
WX883,4,3,4,3,4,benign_or_unconfirmed,0
WX884,2,1,2,2,2,benign_or_unconfirmed,0
WX885,4,3,4,3,4,benign_or_unconfirmed,0
WX886,2,1,2,2,2,benign_or_unconfirmed,0
WX887,4,3,4,3,4,benign_or_unconfirmed,0
WX888,2,1,2,2,2,benign_or_unconfirmed,0
WX889,4,3,4,3,4,benign_or_unconfirmed,0
WX890,2,1,2,2,2,benign_or_unconfirmed,0
WX891,4,3,4,2,4,benign_or_unconfirmed,0
WX892,2,1,2,2,2,benign_or_unconfirmed,0
WX893,4,3,4,3,4,benign_or_unconfirmed,0
WX894,2,1,2,2,2,benign_or_unconfirmed,0
WX895,4,3,4,3,4,benign_or_unconfirmed,0
WX896,2,1,2,2,2,benign_or_unconfirmed,0
WX897,4,3,4,3,4,benign_or_unconfirmed,0
WX898,2,1,2,2,2,benign_or_unconfirmed,0
WX899,4,3,4,3,4,benign_or_unconfirmed,0
WX1264,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_0,0,3,3,2,3,benign_or_unconfirmed,0
DFF_160_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1266,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_1,0,2,2,2,2,benign_or_unconfirmed,0
DFF_161_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1268,2,1,2,2,2,benign_or_unconfirmed,0
test_si10,0,1,1,1,1,benign_or_unconfirmed,0
CRC_OUT_9_2,0,3,3,2,3,benign_or_unconfirmed,0
DFF_162_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1270,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_3,0,3,3,2,3,benign_or_unconfirmed,0
DFF_163_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1272,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_4,0,3,3,2,3,benign_or_unconfirmed,0
DFF_164_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1274,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_5,0,3,3,2,3,benign_or_unconfirmed,0
DFF_165_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1276,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_6,0,3,3,2,3,benign_or_unconfirmed,0
DFF_166_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1278,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_7,0,3,3,2,3,benign_or_unconfirmed,0
DFF_167_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1280,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_8,0,3,3,2,3,benign_or_unconfirmed,0
DFF_168_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1282,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_9,0,3,3,2,3,benign_or_unconfirmed,0
DFF_169_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1284,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_10,0,3,3,2,3,benign_or_unconfirmed,0
DFF_170_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1286,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_11,0,3,3,2,3,benign_or_unconfirmed,0
DFF_171_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1288,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_12,0,3,3,2,3,benign_or_unconfirmed,0
DFF_172_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1290,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_13,0,3,3,2,3,benign_or_unconfirmed,0
DFF_173_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1292,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_14,0,3,3,2,3,benign_or_unconfirmed,0
DFF_174_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1294,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_15,0,3,3,2,3,benign_or_unconfirmed,0
DFF_175_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1296,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_16,0,3,3,2,3,benign_or_unconfirmed,0
DFF_176_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1298,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_17,0,3,3,2,3,benign_or_unconfirmed,0
DFF_177_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1300,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_18,0,3,3,2,3,benign_or_unconfirmed,0
DFF_178_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1302,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_19,0,2,2,2,2,benign_or_unconfirmed,0
DFF_179_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1304,2,1,2,2,2,benign_or_unconfirmed,0
test_si11,0,1,1,1,1,benign_or_unconfirmed,0
CRC_OUT_9_20,0,3,3,2,3,benign_or_unconfirmed,0
DFF_180_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1306,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_21,0,3,3,2,3,benign_or_unconfirmed,0
DFF_181_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1308,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_22,0,3,3,2,3,benign_or_unconfirmed,0
DFF_182_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1310,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_23,0,3,3,2,3,benign_or_unconfirmed,0
DFF_183_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1312,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_24,0,3,3,2,3,benign_or_unconfirmed,0
DFF_184_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1314,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_25,0,3,3,2,3,benign_or_unconfirmed,0
DFF_185_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1316,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_26,0,3,3,2,3,benign_or_unconfirmed,0
DFF_186_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1318,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_27,0,3,3,2,3,benign_or_unconfirmed,0
DFF_187_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1320,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_28,0,3,3,2,3,benign_or_unconfirmed,0
DFF_188_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1322,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_29,0,3,3,2,3,benign_or_unconfirmed,0
DFF_189_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1324,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_30,0,3,3,2,3,benign_or_unconfirmed,0
DFF_190_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1326,2,1,2,2,2,benign_or_unconfirmed,0
CRC_OUT_9_31,0,6,6,3,6,benign_or_unconfirmed,0
DFF_191_n1,5,1,2,2,2,benign_or_unconfirmed,0
WX1777,2,2,3,3,3,benign_or_unconfirmed,0
WX1778,4,3,4,3,4,benign_or_unconfirmed,0
WX1779,2,2,3,3,3,benign_or_unconfirmed,0
n8702,0,2,2,1,2,benign_or_unconfirmed,0
n4033,5,1,2,2,2,benign_or_unconfirmed,0
WX1781,2,2,3,3,3,benign_or_unconfirmed,0
n8701,0,2,2,1,2,benign_or_unconfirmed,0
n4032,5,1,2,2,2,benign_or_unconfirmed,0
WX1783,2,2,3,3,3,benign_or_unconfirmed,0
n8700,0,2,2,1,2,benign_or_unconfirmed,0
n4031,5,1,2,2,2,benign_or_unconfirmed,0
WX1785,2,2,3,3,3,benign_or_unconfirmed,0
n8699,0,2,2,1,2,benign_or_unconfirmed,0
n4030,5,1,2,2,2,benign_or_unconfirmed,0
WX1787,2,2,3,3,3,benign_or_unconfirmed,0
test_so11,0,1,1,1,1,benign_or_unconfirmed,0
n4029,5,1,2,2,2,benign_or_unconfirmed,0
WX1789,2,2,3,3,3,benign_or_unconfirmed,0
test_si12,0,1,1,1,1,benign_or_unconfirmed,0
n8696,0,2,2,1,2,benign_or_unconfirmed,0
