gate_type,instance,nets
SDFFX1,DFF_53_Q_reg,WX686|WX685|test_se|CK|test_so3|n3487
SDFFX1,DFF_54_Q_reg,WX688|test_si4|test_se|CK|WX689|n3485
SDFFX1,DFF_55_Q_reg,WX690|WX689|test_se|CK|WX691|n3483
SDFFX1,DFF_56_Q_reg,WX692|WX691|test_se|CK|WX693|n3481
SDFFX1,DFF_57_Q_reg,WX694|WX693|test_se|CK|WX695|n3479
SDFFX1,DFF_58_Q_reg,WX696|WX695|test_se|CK|WX697|n3477
SDFFX1,DFF_59_Q_reg,WX698|WX697|test_se|CK|WX699|n3475
SDFFX1,DFF_60_Q_reg,WX700|WX699|test_se|CK|WX701|n3473
SDFFX1,DFF_61_Q_reg,WX702|WX701|test_se|CK|WX703|n3471
SDFFX1,DFF_62_Q_reg,WX704|WX703|test_se|CK|WX705|n3469
SDFFX1,DFF_63_Q_reg,WX706|WX705|test_se|CK|WX707|n3467
SDFFX1,DFF_64_Q_reg,WX708|WX707|test_se|CK|WX709
SDFFX1,DFF_65_Q_reg,WX710|WX709|test_se|CK|WX711
SDFFX1,DFF_66_Q_reg,WX712|WX711|test_se|CK|WX713
SDFFX1,DFF_67_Q_reg,WX714|WX713|test_se|CK|WX715
SDFFX1,DFF_68_Q_reg,WX716|WX715|test_se|CK|WX717
SDFFX1,DFF_69_Q_reg,WX718|WX717|test_se|CK|WX719
SDFFX1,DFF_70_Q_reg,WX720|WX719|test_se|CK|WX721
SDFFX1,DFF_71_Q_reg,WX722|WX721|test_se|CK|test_so4
SDFFX1,DFF_72_Q_reg,WX724|test_si5|test_se|CK|WX725
SDFFX1,DFF_73_Q_reg,WX726|WX725|test_se|CK|WX727
SDFFX1,DFF_74_Q_reg,WX728|WX727|test_se|CK|WX729
SDFFX1,DFF_75_Q_reg,WX730|WX729|test_se|CK|WX731
SDFFX1,DFF_76_Q_reg,WX732|WX731|test_se|CK|WX733
SDFFX1,DFF_77_Q_reg,WX734|WX733|test_se|CK|WX735
SDFFX1,DFF_78_Q_reg,WX736|WX735|test_se|CK|WX737
SDFFX1,DFF_79_Q_reg,WX738|WX737|test_se|CK|WX739
SDFFX1,DFF_80_Q_reg,WX740|WX739|test_se|CK|WX741
SDFFX1,DFF_81_Q_reg,WX742|WX741|test_se|CK|WX743
SDFFX1,DFF_82_Q_reg,WX744|WX743|test_se|CK|WX745
SDFFX1,DFF_83_Q_reg,WX746|WX745|test_se|CK|WX747
SDFFX1,DFF_84_Q_reg,WX748|WX747|test_se|CK|WX749
SDFFX1,DFF_85_Q_reg,WX750|WX749|test_se|CK|WX751
SDFFX1,DFF_86_Q_reg,WX752|WX751|test_se|CK|WX753
SDFFX1,DFF_87_Q_reg,WX754|WX753|test_se|CK|WX755
SDFFX1,DFF_88_Q_reg,WX756|WX755|test_se|CK|WX757
SDFFX1,DFF_89_Q_reg,WX758|WX757|test_se|CK|test_so5
SDFFX1,DFF_90_Q_reg,WX760|test_si6|test_se|CK|WX761
SDFFX1,DFF_91_Q_reg,WX762|WX761|test_se|CK|WX763
SDFFX1,DFF_92_Q_reg,WX764|WX763|test_se|CK|WX765
SDFFX1,DFF_93_Q_reg,WX766|WX765|test_se|CK|WX767
SDFFX1,DFF_94_Q_reg,WX768|WX767|test_se|CK|WX769
SDFFX1,DFF_95_Q_reg,WX770|WX769|test_se|CK|WX771
SDFFX1,DFF_96_Q_reg,WX772|WX771|test_se|CK|WX773
SDFFX1,DFF_97_Q_reg,WX774|WX773|test_se|CK|WX775
SDFFX1,DFF_98_Q_reg,WX776|WX775|test_se|CK|WX777
SDFFX1,DFF_99_Q_reg,WX778|WX777|test_se|CK|WX779
SDFFX1,DFF_100_Q_reg,WX780|WX779|test_se|CK|WX781
SDFFX1,DFF_101_Q_reg,WX782|WX781|test_se|CK|WX783
SDFFX1,DFF_102_Q_reg,WX784|WX783|test_se|CK|WX785
SDFFX1,DFF_103_Q_reg,WX786|WX785|test_se|CK|WX787
SDFFX1,DFF_104_Q_reg,WX788|WX787|test_se|CK|WX789
SDFFX1,DFF_105_Q_reg,WX790|WX789|test_se|CK|WX791
SDFFX1,DFF_106_Q_reg,WX792|WX791|test_se|CK|WX793
SDFFX1,DFF_107_Q_reg,WX794|WX793|test_se|CK|test_so6
SDFFX1,DFF_108_Q_reg,WX796|test_si7|test_se|CK|WX797
SDFFX1,DFF_109_Q_reg,WX798|WX797|test_se|CK|WX799
SDFFX1,DFF_110_Q_reg,WX800|WX799|test_se|CK|WX801
SDFFX1,DFF_111_Q_reg,WX802|WX801|test_se|CK|WX803
SDFFX1,DFF_112_Q_reg,WX804|WX803|test_se|CK|WX805
SDFFX1,DFF_113_Q_reg,WX806|WX805|test_se|CK|WX807
SDFFX1,DFF_114_Q_reg,WX808|WX807|test_se|CK|WX809
SDFFX1,DFF_115_Q_reg,WX810|WX809|test_se|CK|WX811
SDFFX1,DFF_116_Q_reg,WX812|WX811|test_se|CK|WX813
SDFFX1,DFF_117_Q_reg,WX814|WX813|test_se|CK|WX815
SDFFX1,DFF_118_Q_reg,WX816|WX815|test_se|CK|WX817
SDFFX1,DFF_119_Q_reg,WX818|WX817|test_se|CK|WX819
SDFFX1,DFF_120_Q_reg,WX820|WX819|test_se|CK|WX821
SDFFX1,DFF_121_Q_reg,WX822|WX821|test_se|CK|WX823
SDFFX1,DFF_122_Q_reg,WX824|WX823|test_se|CK|WX825
SDFFX1,DFF_123_Q_reg,WX826|WX825|test_se|CK|WX827
SDFFX1,DFF_124_Q_reg,WX828|WX827|test_se|CK|WX829
SDFFX1,DFF_125_Q_reg,WX830|WX829|test_se|CK|test_so7
SDFFX1,DFF_126_Q_reg,WX832|test_si8|test_se|CK|WX833
SDFFX1,DFF_127_Q_reg,WX834|WX833|test_se|CK|WX835
SDFFX1,DFF_128_Q_reg,WX836|WX835|test_se|CK|WX837
SDFFX1,DFF_129_Q_reg,WX838|WX837|test_se|CK|WX839
SDFFX1,DFF_130_Q_reg,WX840|WX839|test_se|CK|WX841
SDFFX1,DFF_131_Q_reg,WX842|WX841|test_se|CK|WX843
SDFFX1,DFF_132_Q_reg,WX844|WX843|test_se|CK|WX845
SDFFX1,DFF_133_Q_reg,WX846|WX845|test_se|CK|WX847
SDFFX1,DFF_134_Q_reg,WX848|WX847|test_se|CK|WX849
SDFFX1,DFF_135_Q_reg,WX850|WX849|test_se|CK|WX851
SDFFX1,DFF_136_Q_reg,WX852|WX851|test_se|CK|WX853
SDFFX1,DFF_137_Q_reg,WX854|WX853|test_se|CK|WX855
SDFFX1,DFF_138_Q_reg,WX856|WX855|test_se|CK|WX857
SDFFX1,DFF_139_Q_reg,WX858|WX857|test_se|CK|WX859
SDFFX1,DFF_140_Q_reg,WX860|WX859|test_se|CK|WX861
SDFFX1,DFF_141_Q_reg,WX862|WX861|test_se|CK|WX863
SDFFX1,DFF_142_Q_reg,WX864|WX863|test_se|CK|WX865
SDFFX1,DFF_143_Q_reg,WX866|WX865|test_se|CK|test_so8
SDFFX1,DFF_144_Q_reg,WX868|test_si9|test_se|CK|WX869
SDFFX1,DFF_145_Q_reg,WX870|WX869|test_se|CK|WX871
SDFFX1,DFF_146_Q_reg,WX872|WX871|test_se|CK|WX873
SDFFX1,DFF_147_Q_reg,WX874|WX873|test_se|CK|WX875
SDFFX1,DFF_148_Q_reg,WX876|WX875|test_se|CK|WX877
SDFFX1,DFF_149_Q_reg,WX878|WX877|test_se|CK|WX879
SDFFX1,DFF_150_Q_reg,WX880|WX879|test_se|CK|WX881
SDFFX1,DFF_151_Q_reg,WX882|WX881|test_se|CK|WX883
SDFFX1,DFF_152_Q_reg,WX884|WX883|test_se|CK|WX885
SDFFX1,DFF_153_Q_reg,WX886|WX885|test_se|CK|WX887
SDFFX1,DFF_154_Q_reg,WX888|WX887|test_se|CK|WX889
SDFFX1,DFF_155_Q_reg,WX890|WX889|test_se|CK|WX891
SDFFX1,DFF_156_Q_reg,WX892|WX891|test_se|CK|WX893
SDFFX1,DFF_157_Q_reg,WX894|WX893|test_se|CK|WX895
SDFFX1,DFF_158_Q_reg,WX896|WX895|test_se|CK|WX897
SDFFX1,DFF_159_Q_reg,WX898|WX897|test_se|CK|WX899
SDFFX1,DFF_160_Q_reg,WX1264|WX899|test_se|CK|CRC_OUT_9_0|DFF_160_n1
SDFFX1,DFF_161_Q_reg,WX1266|CRC_OUT_9_0|test_se|CK|CRC_OUT_9_1|DFF_161_n1
SDFFX1,DFF_162_Q_reg,WX1268|test_si10|test_se|CK|CRC_OUT_9_2|DFF_162_n1
SDFFX1,DFF_163_Q_reg,WX1270|CRC_OUT_9_2|test_se|CK|CRC_OUT_9_3|DFF_163_n1
SDFFX1,DFF_164_Q_reg,WX1272|CRC_OUT_9_3|test_se|CK|CRC_OUT_9_4|DFF_164_n1
SDFFX1,DFF_165_Q_reg,WX1274|CRC_OUT_9_4|test_se|CK|CRC_OUT_9_5|DFF_165_n1
SDFFX1,DFF_166_Q_reg,WX1276|CRC_OUT_9_5|test_se|CK|CRC_OUT_9_6|DFF_166_n1
SDFFX1,DFF_167_Q_reg,WX1278|CRC_OUT_9_6|test_se|CK|CRC_OUT_9_7|DFF_167_n1
SDFFX1,DFF_168_Q_reg,WX1280|CRC_OUT_9_7|test_se|CK|CRC_OUT_9_8|DFF_168_n1
SDFFX1,DFF_169_Q_reg,WX1282|CRC_OUT_9_8|test_se|CK|CRC_OUT_9_9|DFF_169_n1
SDFFX1,DFF_170_Q_reg,WX1284|CRC_OUT_9_9|test_se|CK|CRC_OUT_9_10|DFF_170_n1
SDFFX1,DFF_171_Q_reg,WX1286|CRC_OUT_9_10|test_se|CK|CRC_OUT_9_11|DFF_171_n1
SDFFX1,DFF_172_Q_reg,WX1288|CRC_OUT_9_11|test_se|CK|CRC_OUT_9_12|DFF_172_n1
SDFFX1,DFF_173_Q_reg,WX1290|CRC_OUT_9_12|test_se|CK|CRC_OUT_9_13|DFF_173_n1
SDFFX1,DFF_174_Q_reg,WX1292|CRC_OUT_9_13|test_se|CK|CRC_OUT_9_14|DFF_174_n1
SDFFX1,DFF_175_Q_reg,WX1294|CRC_OUT_9_14|test_se|CK|CRC_OUT_9_15|DFF_175_n1
SDFFX1,DFF_176_Q_reg,WX1296|CRC_OUT_9_15|test_se|CK|CRC_OUT_9_16|DFF_176_n1
SDFFX1,DFF_177_Q_reg,WX1298|CRC_OUT_9_16|test_se|CK|CRC_OUT_9_17|DFF_177_n1
SDFFX1,DFF_178_Q_reg,WX1300|CRC_OUT_9_17|test_se|CK|CRC_OUT_9_18|DFF_178_n1
SDFFX1,DFF_179_Q_reg,WX1302|CRC_OUT_9_18|test_se|CK|CRC_OUT_9_19|DFF_179_n1
SDFFX1,DFF_180_Q_reg,WX1304|test_si11|test_se|CK|CRC_OUT_9_20|DFF_180_n1
SDFFX1,DFF_181_Q_reg,WX1306|CRC_OUT_9_20|test_se|CK|CRC_OUT_9_21|DFF_181_n1
SDFFX1,DFF_182_Q_reg,WX1308|CRC_OUT_9_21|test_se|CK|CRC_OUT_9_22|DFF_182_n1
SDFFX1,DFF_183_Q_reg,WX1310|CRC_OUT_9_22|test_se|CK|CRC_OUT_9_23|DFF_183_n1
SDFFX1,DFF_184_Q_reg,WX1312|CRC_OUT_9_23|test_se|CK|CRC_OUT_9_24|DFF_184_n1
SDFFX1,DFF_185_Q_reg,WX1314|CRC_OUT_9_24|test_se|CK|CRC_OUT_9_25|DFF_185_n1
SDFFX1,DFF_186_Q_reg,WX1316|CRC_OUT_9_25|test_se|CK|CRC_OUT_9_26|DFF_186_n1
SDFFX1,DFF_187_Q_reg,WX1318|CRC_OUT_9_26|test_se|CK|CRC_OUT_9_27|DFF_187_n1
SDFFX1,DFF_188_Q_reg,WX1320|CRC_OUT_9_27|test_se|CK|CRC_OUT_9_28|DFF_188_n1
SDFFX1,DFF_189_Q_reg,WX1322|CRC_OUT_9_28|test_se|CK|CRC_OUT_9_29|DFF_189_n1
SDFFX1,DFF_190_Q_reg,WX1324|CRC_OUT_9_29|test_se|CK|CRC_OUT_9_30|DFF_190_n1
SDFFX1,DFF_191_Q_reg,WX1326|CRC_OUT_9_30|test_se|CK|CRC_OUT_9_31|DFF_191_n1
SDFFX1,DFF_192_Q_reg,WX1777|CRC_OUT_9_31|test_se|CK|WX1778
SDFFX1,DFF_193_Q_reg,WX1779|WX1778|test_se|CK|n8702|n4033
SDFFX1,DFF_194_Q_reg,WX1781|n8702|test_se|CK|n8701|n4032
SDFFX1,DFF_195_Q_reg,WX1783|n8701|test_se|CK|n8700|n4031
SDFFX1,DFF_196_Q_reg,WX1785|n8700|test_se|CK|n8699|n4030
SDFFX1,DFF_197_Q_reg,WX1787|n8699|test_se|CK|test_so11|n4029
SDFFX1,DFF_198_Q_reg,WX1789|test_si12|test_se|CK|n8696|n4028
SDFFX1,DFF_199_Q_reg,WX1791|n8696|test_se|CK|n8695|n4027
SDFFX1,DFF_200_Q_reg,WX1793|n8695|test_se|CK|n8694|n4026
SDFFX1,DFF_201_Q_reg,WX1795|n8694|test_se|CK|n8693|n4025
SDFFX1,DFF_202_Q_reg,WX1797|n8693|test_se|CK|n8692|n4024
SDFFX1,DFF_203_Q_reg,WX1799|n8692|test_se|CK|n8691|n4023
SDFFX1,DFF_204_Q_reg,WX1801|n8691|test_se|CK|n8690|n4022
SDFFX1,DFF_205_Q_reg,WX1803|n8690|test_se|CK|n8689|n4021
SDFFX1,DFF_206_Q_reg,WX1805|n8689|test_se|CK|n8688|n4020
SDFFX1,DFF_207_Q_reg,WX1807|n8688|test_se|CK|n8687|n4019
SDFFX1,DFF_208_Q_reg,WX1809|n8687|test_se|CK|n8686|n4018
SDFFX1,DFF_209_Q_reg,WX1811|n8686|test_se|CK|n8685|n4017
SDFFX1,DFF_210_Q_reg,WX1813|n8685|test_se|CK|n8684|n4016
SDFFX1,DFF_211_Q_reg,WX1815|n8684|test_se|CK|n8683|n4015
SDFFX1,DFF_212_Q_reg,WX1817|n8683|test_se|CK|n8682|n4014
SDFFX1,DFF_213_Q_reg,WX1819|n8682|test_se|CK|n8681|n4013
SDFFX1,DFF_214_Q_reg,WX1821|n8681|test_se|CK|n8680|n4012
SDFFX1,DFF_215_Q_reg,WX1823|n8680|test_se|CK|test_so12|n4011
SDFFX1,DFF_216_Q_reg,WX1825|test_si13|test_se|CK|n8677|n4010
SDFFX1,DFF_217_Q_reg,WX1827|n8677|test_se|CK|n8676|n4009
SDFFX1,DFF_218_Q_reg,WX1829|n8676|test_se|CK|n8675|n4008
SDFFX1,DFF_219_Q_reg,WX1831|n8675|test_se|CK|n8674|n4007
SDFFX1,DFF_220_Q_reg,WX1833|n8674|test_se|CK|n8673|n4006
SDFFX1,DFF_221_Q_reg,WX1835|n8673|test_se|CK|n8672|n4005
SDFFX1,DFF_222_Q_reg,WX1837|n8672|test_se|CK|n8671|n4004
SDFFX1,DFF_223_Q_reg,WX1839|n8671|test_se|CK|n8670|n4003
SDFFX1,DFF_224_Q_reg,WX1937|n8670|test_se|CK|n8669|n3345
SDFFX1,DFF_225_Q_reg,WX1939|n8669|test_se|CK|n8668|n3465
SDFFX1,DFF_226_Q_reg,WX1941|n8668|test_se|CK|n8667|n3464
SDFFX1,DFF_227_Q_reg,WX1943|n8667|test_se|CK|n8666|n3463
SDFFX1,DFF_228_Q_reg,WX1945|n8666|test_se|CK|n8665|n3462
SDFFX1,DFF_229_Q_reg,WX1947|n8665|test_se|CK|n8664|n3461
SDFFX1,DFF_230_Q_reg,WX1949|n8664|test_se|CK|n8663|n3460
SDFFX1,DFF_231_Q_reg,WX1951|n8663|test_se|CK|n8662|n3459
SDFFX1,DFF_232_Q_reg,WX1953|n8662|test_se|CK|n8661|n3458
SDFFX1,DFF_233_Q_reg,WX1955|n8661|test_se|CK|test_so13|n3457
SDFFX1,DFF_234_Q_reg,WX1957|test_si14|test_se|CK|n8658|n3456
SDFFX1,DFF_235_Q_reg,WX1959|n8658|test_se|CK|n8657|n3455
SDFFX1,DFF_236_Q_reg,WX1961|n8657|test_se|CK|n8656|n3454
SDFFX1,DFF_237_Q_reg,WX1963|n8656|test_se|CK|n8655|n3453
SDFFX1,DFF_238_Q_reg,WX1965|n8655|test_se|CK|n8654|n3452
SDFFX1,DFF_239_Q_reg,WX1967|n8654|test_se|CK|n8653|n3451
SDFFX1,DFF_240_Q_reg,WX1969|n8653|test_se|CK|WX1970
SDFFX1,DFF_241_Q_reg,WX1971|WX1970|test_se|CK|WX1972
SDFFX1,DFF_242_Q_reg,WX1973|WX1972|test_se|CK|WX1974
SDFFX1,DFF_243_Q_reg,WX1975|WX1974|test_se|CK|WX1976
SDFFX1,DFF_244_Q_reg,WX1977|WX1976|test_se|CK|WX1978
SDFFX1,DFF_245_Q_reg,WX1979|WX1978|test_se|CK|WX1980
SDFFX1,DFF_246_Q_reg,WX1981|WX1980|test_se|CK|WX1982
SDFFX1,DFF_247_Q_reg,WX1983|WX1982|test_se|CK|WX1984
SDFFX1,DFF_248_Q_reg,WX1985|WX1984|test_se|CK|WX1986
SDFFX1,DFF_249_Q_reg,WX1987|WX1986|test_se|CK|WX1988
SDFFX1,DFF_250_Q_reg,WX1989|WX1988|test_se|CK|WX1990
SDFFX1,DFF_251_Q_reg,WX1991|WX1990|test_se|CK|test_so14
SDFFX1,DFF_252_Q_reg,WX1993|test_si15|test_se|CK|WX1994
SDFFX1,DFF_253_Q_reg,WX1995|WX1994|test_se|CK|WX1996
SDFFX1,DFF_254_Q_reg,WX1997|WX1996|test_se|CK|WX1998
SDFFX1,DFF_255_Q_reg,WX1999|WX1998|test_se|CK|WX2000
SDFFX1,DFF_256_Q_reg,WX2001|WX2000|test_se|CK|WX2002
SDFFX1,DFF_257_Q_reg,WX2003|WX2002|test_se|CK|WX2004
SDFFX1,DFF_258_Q_reg,WX2005|WX2004|test_se|CK|WX2006
SDFFX1,DFF_259_Q_reg,WX2007|WX2006|test_se|CK|WX2008
SDFFX1,DFF_260_Q_reg,WX2009|WX2008|test_se|CK|WX2010
SDFFX1,DFF_261_Q_reg,WX2011|WX2010|test_se|CK|WX2012
SDFFX1,DFF_262_Q_reg,WX2013|WX2012|test_se|CK|WX2014
SDFFX1,DFF_263_Q_reg,WX2015|WX2014|test_se|CK|WX2016
SDFFX1,DFF_264_Q_reg,WX2017|WX2016|test_se|CK|WX2018
SDFFX1,DFF_265_Q_reg,WX2019|WX2018|test_se|CK|WX2020
SDFFX1,DFF_266_Q_reg,WX2021|WX2020|test_se|CK|WX2022
SDFFX1,DFF_267_Q_reg,WX2023|WX2022|test_se|CK|WX2024
SDFFX1,DFF_268_Q_reg,WX2025|WX2024|test_se|CK|WX2026
SDFFX1,DFF_269_Q_reg,WX2027|WX2026|test_se|CK|test_so15
SDFFX1,DFF_270_Q_reg,WX2029|test_si16|test_se|CK|WX2030
SDFFX1,DFF_271_Q_reg,WX2031|WX2030|test_se|CK|WX2032
SDFFX1,DFF_272_Q_reg,WX2033|WX2032|test_se|CK|WX2034|n3785
SDFFX1,DFF_273_Q_reg,WX2035|WX2034|test_se|CK|WX2036|n3783
SDFFX1,DFF_274_Q_reg,WX2037|WX2036|test_se|CK|WX2038|n3781
SDFFX1,DFF_275_Q_reg,WX2039|WX2038|test_se|CK|WX2040|n3779
SDFFX1,DFF_276_Q_reg,WX2041|WX2040|test_se|CK|WX2042|n3777
SDFFX1,DFF_277_Q_reg,WX2043|WX2042|test_se|CK|WX2044|n3775
SDFFX1,DFF_278_Q_reg,WX2045|WX2044|test_se|CK|WX2046|n3773
SDFFX1,DFF_279_Q_reg,WX2047|WX2046|test_se|CK|WX2048|n3771
SDFFX1,DFF_280_Q_reg,WX2049|WX2048|test_se|CK|WX2050|n3769
SDFFX1,DFF_281_Q_reg,WX2051|WX2050|test_se|CK|WX2052|n3767
SDFFX1,DFF_282_Q_reg,WX2053|WX2052|test_se|CK|WX2054|n3765
SDFFX1,DFF_283_Q_reg,WX2055|WX2054|test_se|CK|WX2056|n3763
SDFFX1,DFF_284_Q_reg,WX2057|WX2056|test_se|CK|WX2058|n3761
SDFFX1,DFF_285_Q_reg,WX2059|WX2058|test_se|CK|WX2060|n3759
SDFFX1,DFF_286_Q_reg,WX2061|WX2060|test_se|CK|WX2062|n3757
SDFFX1,DFF_287_Q_reg,WX2063|WX2062|test_se|CK|test_so16|n3755
SDFFX1,DFF_288_Q_reg,WX2065|test_si17|test_se|CK|WX2066
SDFFX1,DFF_289_Q_reg,WX2067|WX2066|test_se|CK|WX2068
SDFFX1,DFF_290_Q_reg,WX2069|WX2068|test_se|CK|WX2070
SDFFX1,DFF_291_Q_reg,WX2071|WX2070|test_se|CK|WX2072
SDFFX1,DFF_292_Q_reg,WX2073|WX2072|test_se|CK|WX2074
SDFFX1,DFF_293_Q_reg,WX2075|WX2074|test_se|CK|WX2076
SDFFX1,DFF_294_Q_reg,WX2077|WX2076|test_se|CK|WX2078
SDFFX1,DFF_295_Q_reg,WX2079|WX2078|test_se|CK|WX2080
SDFFX1,DFF_296_Q_reg,WX2081|WX2080|test_se|CK|WX2082
SDFFX1,DFF_297_Q_reg,WX2083|WX2082|test_se|CK|WX2084
SDFFX1,DFF_298_Q_reg,WX2085|WX2084|test_se|CK|WX2086
SDFFX1,DFF_299_Q_reg,WX2087|WX2086|test_se|CK|WX2088
SDFFX1,DFF_300_Q_reg,WX2089|WX2088|test_se|CK|WX2090
SDFFX1,DFF_301_Q_reg,WX2091|WX2090|test_se|CK|WX2092
SDFFX1,DFF_302_Q_reg,WX2093|WX2092|test_se|CK|WX2094
SDFFX1,DFF_303_Q_reg,WX2095|WX2094|test_se|CK|WX2096
SDFFX1,DFF_304_Q_reg,WX2097|WX2096|test_se|CK|WX2098
SDFFX1,DFF_305_Q_reg,WX2099|WX2098|test_se|CK|test_so17
SDFFX1,DFF_306_Q_reg,WX2101|test_si18|test_se|CK|WX2102
SDFFX1,DFF_307_Q_reg,WX2103|WX2102|test_se|CK|WX2104
SDFFX1,DFF_308_Q_reg,WX2105|WX2104|test_se|CK|WX2106
SDFFX1,DFF_309_Q_reg,WX2107|WX2106|test_se|CK|WX2108
SDFFX1,DFF_310_Q_reg,WX2109|WX2108|test_se|CK|WX2110
SDFFX1,DFF_311_Q_reg,WX2111|WX2110|test_se|CK|WX2112
SDFFX1,DFF_312_Q_reg,WX2113|WX2112|test_se|CK|WX2114
SDFFX1,DFF_313_Q_reg,WX2115|WX2114|test_se|CK|WX2116
SDFFX1,DFF_314_Q_reg,WX2117|WX2116|test_se|CK|WX2118
SDFFX1,DFF_315_Q_reg,WX2119|WX2118|test_se|CK|WX2120
SDFFX1,DFF_316_Q_reg,WX2121|WX2120|test_se|CK|WX2122
SDFFX1,DFF_317_Q_reg,WX2123|WX2122|test_se|CK|WX2124
SDFFX1,DFF_318_Q_reg,WX2125|WX2124|test_se|CK|WX2126
SDFFX1,DFF_319_Q_reg,WX2127|WX2126|test_se|CK|WX2128
SDFFX1,DFF_320_Q_reg,WX2129|WX2128|test_se|CK|WX2130
SDFFX1,DFF_321_Q_reg,WX2131|WX2130|test_se|CK|WX2132
SDFFX1,DFF_322_Q_reg,WX2133|WX2132|test_se|CK|WX2134
SDFFX1,DFF_323_Q_reg,WX2135|WX2134|test_se|CK|test_so18
SDFFX1,DFF_324_Q_reg,WX2137|test_si19|test_se|CK|WX2138
SDFFX1,DFF_325_Q_reg,WX2139|WX2138|test_se|CK|WX2140
SDFFX1,DFF_326_Q_reg,WX2141|WX2140|test_se|CK|WX2142
